,_id,addr:housenumber,addr:street,air_quality,amenity,area,bbox_id,building,building_centroid.coordinates.0,building_centroid.coordinates.1,building_centroid.type,closest_shop,cloud_cover,description,geometry.coordinates.0.0.0,geometry.coordinates.0.0.1,geometry.coordinates.0.1.0,geometry.coordinates.0.1.1,geometry.coordinates.0.10.0,geometry.coordinates.0.10.1,geometry.coordinates.0.11.0,geometry.coordinates.0.11.1,geometry.coordinates.0.12.0,geometry.coordinates.0.12.1,geometry.coordinates.0.2.0,geometry.coordinates.0.2.1,geometry.coordinates.0.3.0,geometry.coordinates.0.3.1,geometry.coordinates.0.4.0,geometry.coordinates.0.4.1,geometry.coordinates.0.5.0,geometry.coordinates.0.5.1,geometry.coordinates.0.6.0,geometry.coordinates.0.6.1,geometry.coordinates.0.7.0,geometry.coordinates.0.7.1,geometry.coordinates.0.8.0,geometry.coordinates.0.8.1,geometry.coordinates.0.9.0,geometry.coordinates.0.9.1,geometry.type,height,humidity,name,request_area_bottom_left.coordinates.0,request_area_bottom_left.coordinates.1,request_area_bottom_left.type,request_area_top_right.coordinates.0,request_area_top_right.coordinates.1,request_area_top_right.type,shops_amount,temperature
292,5bd44a27aef2f0451bff5925,101,,71,embassy,677.3516464067749,Kyiv1,,30.508799304205017,50.432752356080655,Point,167,0.54,,30.508534499999996,50.4328336,30.5085337,50.432671299999996,,,,,,,30.5087695,50.4326717,30.5088403,50.432672,30.508997499999996,50.432672,30.509065600000003,50.432671899999995,30.509065600000003,50.432832399999995,30.508534499999996,50.4328336,,,,,Polygon,15.0,0.73,Представництво ЄC,30.506201,50.432388,Point,30.520749,50.440698,Point,6.0,8.98
70,5bd44a27aef2f0451bff5847,68,,71,,790.7345829581552,Kyiv1,,30.5100148582622,50.43857833736162,Point,66,0.54,,30.5101765,50.4384041,30.510271799999998,50.4386436,,,,,,,30.5097525,50.4387274,30.509704499999998,50.438606799999995,30.5099599,50.4385655,30.5099126,50.4384466,30.5101765,50.4384041,,,,,,,Polygon,15.0,0.73,,30.506201,50.432388,Point,30.520749,50.440698,Point,26.0,8.98
135,5bd44a27aef2f0451bff5888,12а,,62,,568.4492508129379,Kyiv1,,30.51744810637789,50.43616631603317,Point,59,0.54,,30.5176716,50.436082899999995,30.517661600000004,50.436082899999995,30.517507799999997,50.4362656,30.5175081,50.4362259,30.517659899999998,50.436226700000006,30.517235200000002,50.436081099999996,30.517235999999997,50.4361089,30.5172326,50.4362306,30.5173396,50.43623,30.5173446,50.4362626,30.517371500000003,50.4362777,30.5174094,50.4362852,30.517466600000002,50.436280700000005,Polygon,15.0,0.73,,30.506201,50.432388,Point,30.520749,50.440698,Point,64.0,8.91
207,5bd44a27aef2f0451bff58d0,42б,,62,,277.0160778759158,Kyiv1,,30.515202088091932,50.437243121071354,Point,72,0.54,,30.5153022,50.437330700000004,30.515300800000002,50.4371525,,,,,,,30.515118800000003,50.4371531,30.515119399999996,50.4372281,30.5150708,50.4372283,30.5150711,50.4372754,30.515113800000005,50.4372752,30.515114299999997,50.4373313,30.5153022,50.437330700000004,,,Polygon,15.0,0.73,,30.506201,50.432388,Point,30.520749,50.440698,Point,63.0,8.91
19,5bd44a27aef2f0451bff5814,17б,Льва Толстого вулиця,71,,509.37447440878435,Kyiv1,apartments,30.508975957447763,50.440163868946286,Point,169,0.54,,30.509155100000005,50.440078299999996,30.5092111,50.440218200000004,,,,,,,30.5088473,50.4402773,30.508762,50.4400644,30.5088939,50.440043,30.508923100000004,50.440115999999996,30.509155100000005,50.440078299999996,,,,,,,Polygon,15.0,0.73,,30.506201,50.432388,Point,30.520749,50.440698,Point,15.0,8.98
154,5bd44a27aef2f0451bff589b,23а,Велика Васильківська вулиця,62,,1310.8053735610695,Kyiv1,,30.517201814335824,50.439151076444645,Point,12,0.54,,30.516741800000002,50.4390391,30.5169076,50.4388997,30.516741800000002,50.4390391,,,,,30.5173687,50.439121,30.5176597,50.439261200000004,30.517495299999997,50.4394035,30.5174525,50.4393827,30.517265500000004,50.4392919,30.5172157,50.439267799999996,30.5171897,50.439255200000005,30.5168678,50.4390999,Polygon,15.0,0.73,,30.506201,50.432388,Point,30.520749,50.440698,Point,58.0,8.91
484,5bd44a27aef2f0451bff59e5,,,62,,105.84217124865036,Kyiv1,,30.5125016,50.43573519999999,Point,4,0.54,,30.5124318,50.4357829,30.5125716,50.4357833,,,,,,,30.5125714,50.4356875,30.5124316,50.4356871,30.5124318,50.4357829,,,,,,,,,,,Polygon,15.0,0.73,,30.506201,50.432388,Point,30.520749,50.440698,Point,44.0,8.91
18,5bd44a27aef2f0451bff5813,,,71,cafe,902.0588916400566,Kyiv1,,30.508953060890153,50.43943957087301,Point,170,0.54,,30.508696999999998,50.4393407,30.508807399999995,50.4396062,,,,,,,30.509209100000003,50.4395385,30.509098699999996,50.4392729,30.508696999999998,50.4393407,,,,,,,,,,,Polygon,15.0,0.73,Їдальня,30.506201,50.432388,Point,30.520749,50.440698,Point,16.0,8.98
217,5bd44a27aef2f0451bff58da,4/6,Антоновича вулиця,62,,1059.6454410076446,Kyiv1,,30.513308484529933,50.439009126862004,Point,74,0.54,,30.513103499999996,50.4393038,30.513102500000002,50.4391687,30.513103499999996,50.4393038,,,,,30.513232799999997,50.4391684,30.513230600000004,50.4388687,30.5132293,50.43868270000001,30.513428700000002,50.4386821,30.51343,50.438867,30.513432799999997,50.439255700000004,30.513278600000003,50.4392562,30.5132789,50.4393032,Polygon,15.0,0.73,,30.506201,50.432388,Point,30.520749,50.440698,Point,44.0,8.91
56,5bd44a27aef2f0451bff5839,11,Льва Толстого вулиця,71,university,752.9511569799881,Kyiv1,university,30.510680360759977,50.440111193299416,Point,33,0.54,,30.5105436,50.440270899999994,30.5109053,50.4402151,,,,,,,30.5108059,50.43995379999999,30.5104216,50.440013,30.5104501,50.440088,30.510564000000002,50.440070399999996,30.510589899999996,50.4401385,30.510498600000002,50.440152600000005,30.5105436,50.440270899999994,,,Polygon,9.0,0.73,Ректорат КНУТШ,30.506201,50.432388,Point,30.520749,50.440698,Point,20.0,8.98
347,5bd44a27aef2f0451bff595c,93,,71,,368.2585716213458,Kyiv1,,30.509191057836336,50.43459922069937,Point,144,0.54,,30.509038800000003,50.434520899999995,30.5091191,50.4347152,,,,,,,30.5093433,50.4346776,30.509263,50.4344832,30.509038800000003,50.434520899999995,,,,,,,,,,,Polygon,12.0,0.73,,30.506201,50.432388,Point,30.520749,50.440698,Point,21.0,8.98
24,5bd44a27aef2f0451bff5819,6а,,71,,588.6632643883453,Kyiv1,apartments,30.50737077224026,50.439466900055066,Point,39,0.54,,30.507620199999998,50.439507299999995,30.5075528,50.439335,,,,,,,30.507337,50.4393692,30.507355100000005,50.4394154,30.507093800000003,50.439456899999996,30.507143100000004,50.439583,30.5073442,50.4395511,30.507620199999998,50.439507299999995,,,,,Polygon,15.0,0.73,,30.506201,50.432388,Point,30.520749,50.440698,Point,16.0,8.98
288,5bd44a27aef2f0451bff5921,24,,62,,350.59151196689817,Kyiv1,,30.51257827556144,50.434228975337106,Point,150,0.54,,30.512399600000006,50.4342924,30.5123963,50.434169399999995,,,,,,,30.512757,50.4341656,30.5127603,50.4342885,30.512399600000006,50.4342924,,,,,,,,,,,Polygon,15.0,0.73,,30.506201,50.432388,Point,30.520749,50.440698,Point,36.0,8.91
340,5bd44a27aef2f0451bff5955,32,Антоновича вулиця,62,,582.5891017082238,Kyiv1,,30.513127633569933,50.43530242524538,Point,83,0.54,,30.512864899999997,50.435392799999995,30.5133641,50.435399600000004,30.5128711,50.435208700000004,30.512864899999997,50.435392799999995,,,30.5133685,50.435270700000004,30.513370899999998,50.4351981,30.5130751,50.435194,30.513073,50.435253499999995,30.513242699999996,50.43525579999999,30.5132399,50.4353396,30.5129974,50.435336299999996,30.5130016,50.4352105,Polygon,15.0,0.73,,30.506201,50.432388,Point,30.520749,50.440698,Point,45.0,8.91
336,5bd44a27aef2f0451bff5951,41,Антоновича вулиця,62,,521.2021063082129,Kyiv1,,30.514356334567818,50.43306155988184,Point,92,0.54,,30.514247499999996,50.432903100000004,30.514257,50.4331624,,,,,,,30.5142592,50.433223100000006,30.514465100000002,50.4332201,30.5144535,50.4329,30.514247499999996,50.432903100000004,,,,,,,,,Polygon,15.0,0.73,,30.506201,50.432388,Point,30.520749,50.440698,Point,18.0,8.91
47,5bd44a27aef2f0451bff5830,42,Саксаганського вулиця,71,,903.7017896123664,Kyiv1,apartments,30.509014509300613,50.436317884998815,Point,27,0.54,,30.5091485,50.436471399999995,30.509354499999997,50.4364391,,,,,,,30.509255100000004,50.436182,30.508573699999996,50.436289,30.508618300000002,50.4364044,30.509093699999998,50.4363297,30.5091485,50.436471399999995,,,,,,,Polygon,15.0,0.73,,30.506201,50.432388,Point,30.520749,50.440698,Point,30.0,8.98
331,5bd44a27aef2f0451bff594c,9-2,Велика Васильківська вулиця,62,,1939.552973905569,Kyiv1,apartments,30.5210374285247,50.440513037552776,Point,179,0.54,,30.520275,50.440552399999994,30.5203435,50.440596500000005,30.5208988,50.440593799999995,30.520967300000002,50.4405536,30.520991600000002,50.4405654,30.52042,50.4405461,30.5205028,50.4405957,30.520559499999997,50.4405541,30.520590999999996,50.4405656,30.520655800000004,50.440565500000005,30.5206783,50.440554,30.520745799999997,50.4405945,30.5208214,50.440546000000005,Polygon,30.0,0.73,,30.506201,50.432388,Point,30.520749,50.440698,Point,30.0,8.91
301,5bd44a27aef2f0451bff592e,47,Велика Васильківська вулиця,62,,594.1381709385219,Kyiv1,,30.51650499196386,50.43498658126539,Point,29,0.54,,30.516374,50.4351307,30.5165744,50.435131,30.516370799999997,50.4348266,30.516371000000003,50.434838,30.516371799999998,50.43488189999999,30.5167109,50.435129700000005,30.5167107,50.435080600000006,30.5165688,50.435080799999994,30.516568499999998,50.434976899999995,30.516697600000004,50.43497670000001,30.516697399999998,50.434909600000005,30.516567699999996,50.4349098,30.516566700000002,50.43482720000001,Polygon,24.0,0.73,,30.506201,50.432388,Point,30.520749,50.440698,Point,50.0,8.91
449,5bd44a27aef2f0451bff59c2,44г,,71,,221.87096239212715,Kyiv1,,30.50872103622025,50.4368849946156,Point,97,0.54,,30.5087729,50.4367956,30.508595899999996,50.4368331,,,,,,,30.508666700000003,50.436975200000006,30.508848699999998,50.4369343,30.5087729,50.4367956,,,,,,,,,,,Polygon,9.0,0.73,,30.506201,50.432388,Point,30.520749,50.440698,Point,22.0,8.98
442,5bd44a27aef2f0451bff59bb,101,Володимирська вулиця,71,,263.9019734516962,Kyiv1,commercial,30.50888371297364,50.43259862502884,Point,195,0.54,,30.5087695,50.4326717,30.508997499999996,50.432672,,,,,,,30.5089979,50.4325255,30.508769899999997,50.432525299999995,30.5087695,50.4326717,,,,,,,,,,,Polygon,15.0,0.73,,30.506201,50.432388,Point,30.520749,50.440698,Point,6.0,8.98
102,5bd44a27aef2f0451bff5867,15,,62,,539.1846149256077,Kyiv1,,30.52004899843739,50.43865393438077,Point,23,0.54,,30.519819000000002,50.438683600000005,30.5199691,50.438749200000004,30.5202228,50.4385651,30.5200942,50.4385086,30.5200262,50.4385714,30.520004600000004,50.43876470000001,30.520053700000002,50.4387867,30.520088,50.4388018,30.520156699999998,50.4387384,30.5202303,50.4386704,30.5201951,50.4386549,30.5202334,50.4386195,30.520186300000002,50.438598799999994,Polygon,12.0,0.73,,30.506201,50.432388,Point,30.520749,50.440698,Point,51.0,8.91
150,5bd44a27aef2f0451bff5897,32,,62,,402.0097322670741,Kyiv1,,30.518035390959312,50.437273901161205,Point,79,0.54,,30.518169699999998,50.437373,30.518171999999996,50.4372675,30.517860600000002,50.4373342,30.5179284,50.4373348,30.517928700000002,50.437320899999996,30.5181734,50.4372024,30.518174,50.4371744,30.5179933,50.43717279999999,30.517992600000003,50.4372047,30.517992100000004,50.4372295,30.5179418,50.4372291,30.517942200000004,50.437210799999995,30.517863300000002,50.4372101,Polygon,15.0,0.73,,30.506201,50.432388,Point,30.520749,50.440698,Point,79.0,8.91
382,5bd44a27aef2f0451bff597f,23,Жилянська вулиця,62,,394.37333089349113,Kyiv1,,30.511959541384236,50.433748874211005,Point,114,0.54,,30.511813,50.4338389,30.511963199999997,50.433838,,,,,,,30.512113300000003,50.433837100000005,30.512102799999997,50.4337101,30.512032799999997,50.4337151,30.5120374,50.4336282,30.5118781,50.4336301,30.5118781,50.43372279999999,30.5118027,50.433727600000005,30.511813,50.4338389,Polygon,18.0,0.73,,30.506201,50.432388,Point,30.520749,50.440698,Point,25.0,8.91
231,5bd44a27aef2f0451bff58e8,10,Льва Толстого вулиця,62,hospital,1483.3274446895543,Kyiv1,,30.514351518930077,50.44009648426317,Point,73,0.54,,30.513989199999997,50.4402236,30.5138951,50.4399973,,,,,,,30.5145586,50.43988579999999,30.5146126,50.4400162,30.5147594,50.4403707,30.5145941,50.4403984,30.5144581,50.4400701,30.5142094,50.4401119,30.514238399999996,50.4401816,30.513989199999997,50.4402236,Polygon,15.0,0.73,ДКЛ №6,30.506201,50.432388,Point,30.520749,50.440698,Point,39.0,8.91
162,5bd44a27aef2f0451bff58a3,1,Антоновича вулиця,62,,776.6820271864882,Kyiv1,,30.514029545265398,50.439277064967754,Point,20,0.54,,30.5139315,50.4395092,30.5139158,50.4391884,,,,,,,30.5139107,50.439086100000004,30.513909299999998,50.4390566,30.514138199999998,50.439056,30.514141100000003,50.4394994,30.5139315,50.4395092,,,,,,,Polygon,15.0,0.73,,30.506201,50.432388,Point,30.520749,50.440698,Point,45.0,8.91
178,5bd44a27aef2f0451bff58b3,17б,Велика Васильківська вулиця,62,,586.5202836540514,Kyiv1,,30.519018998372,50.439418053769906,Point,75,0.54,,30.519023600000004,50.4394943,30.5191609,50.4395574,30.5187564,50.4392631,30.5186979,50.4393151,30.5186751,50.4393351,30.5191921,50.4395717,30.5192304,50.4395379,30.519265100000002,50.43955379999999,30.5193331,50.4394935,30.519122399999997,50.439397,30.5191732,50.439352,30.519088,50.439313,30.5190122,50.4393802,Polygon,15.0,0.73,,30.506201,50.432388,Point,30.520749,50.440698,Point,52.0,8.91
407,5bd44a27aef2f0451bff5998,,,62,,669.4540874541344,Kyiv1,,30.511365835435427,50.439658571494476,Point,18,0.54,,30.5111033,50.439614899999995,30.5111695,50.439780999999996,30.511705100000004,50.4396152,30.5116685,50.4395234,30.511340500000003,50.4395765,30.511188699999998,50.439829100000004,30.511377399999997,50.4397985,30.511356899999996,50.439747100000005,30.5113281,50.4396748,30.5114067,50.439662,30.511425,50.439707899999995,30.511530800000003,50.4396908,30.511513,50.4396463,Polygon,15.0,0.73,,30.506201,50.432388,Point,30.520749,50.440698,Point,25.0,8.91
79,5bd44a27aef2f0451bff5850,69,,71,,1334.349240164198,Kyiv1,,30.51086593388421,50.438690092893275,Point,40,0.54,,30.510889600000002,50.4390731,30.510684,50.4385584,,,,,,,30.5106191,50.438396000000004,30.5109519,50.438342,30.5109989,50.4384597,30.510879499999998,50.438479,30.510897399999998,50.438523700000005,30.511103100000003,50.4390385,30.510889600000002,50.4390731,,,Polygon,15.0,0.73,,30.506201,50.432388,Point,30.520749,50.440698,Point,29.0,8.98
400,5bd44a27aef2f0451bff5991,,,71,,430.2031562748162,Kyiv1,,30.510762806480564,50.437237570701974,Point,85,0.54,,30.510606699999997,50.4371404,30.510695000000002,50.437369700000005,,,,,,,30.5109189,50.4373348,30.510830600000006,50.4371054,30.510606699999997,50.4371404,,,,,,,,,,,Polygon,15.0,0.73,,30.506201,50.432388,Point,30.520749,50.440698,Point,34.0,8.98
242,5bd44a27aef2f0451bff58f3,54,Велика Васильківська вулиця,62,,769.9505772318464,Kyiv1,,30.515713391080432,50.43471274612076,Point,75,0.54,,30.515823699999995,50.434935700000004,30.5158225,50.4347084,,,,,,,30.515821399999997,50.4344892,30.5156026,50.4344904,30.515605800000003,50.4349363,30.515823699999995,50.434935700000004,,,,,,,,,Polygon,15.0,0.73,,30.506201,50.432388,Point,30.520749,50.440698,Point,47.0,8.91
241,5bd44a27aef2f0451bff58f2,46,Шота Руставелі вулиця,62,school,1097.0989224513671,Kyiv1,,30.51752387308836,50.43464384985739,Point,90,0.54,,30.5171332,50.4347356,30.517133899999997,50.4345388,30.5171332,50.4347356,,,,,30.5173849,50.4345391,30.5178528,50.434539799999996,30.517852,50.4348009,30.5176054,50.4348005,30.517605800000002,50.434671,30.5173917,50.4346708,30.517321399999997,50.434670700000005,30.5173212,50.4347359,Polygon,15.0,0.73,Ліцей №145,30.506201,50.432388,Point,30.520749,50.440698,Point,42.0,8.91
230,5bd44a27aef2f0451bff58e7,23-25/10,Терещенківська вулиця,62,,717.4638221222842,Kyiv1,,30.51422962298598,50.440329362019824,Point,30,0.54,,30.5140903,50.440467,30.5140825,50.44044829999999,30.5140903,50.440467,,,,,30.513989199999997,50.4402236,30.514238399999996,50.4401816,30.5142632,50.4402413,30.514312899999997,50.440233,30.514343100000005,50.4403058,30.5144789,50.440283,30.514515999999997,50.4403723,30.514525,50.440393900000004,Polygon,12.0,0.73,,30.506201,50.432388,Point,30.520749,50.440698,Point,35.0,8.91
351,5bd44a27aef2f0451bff5960,,,62,,1271.2758461314065,Kyiv1,,30.511602708220853,50.43691027759304,Point,162,0.54,,30.5111984,50.4370812,30.5114325,50.437073299999994,30.5111984,50.4370812,,,,,30.5114245,50.436977899999995,30.5114619,50.4369766,30.511458,50.4369297,30.5117185,50.4369209,30.511724400000002,50.4369909,30.5120844,50.43697879999999,30.5120692,50.4367965,30.5111772,50.4368266,Polygon,15.0,0.73,,30.506201,50.432388,Point,30.520749,50.440698,Point,44.0,8.91
469,5bd44a27aef2f0451bff59d6,,,71,,115.72824895409737,Kyiv1,,30.507939574110388,50.433276640185916,Point,68,0.54,,30.507917600000003,50.4333648,30.507943400000002,50.433352899999996,,,,,,,30.5079957,50.433344399999996,30.508011800000002,50.433335,30.5080065,50.433323,30.5079609,50.433195700000006,30.507864299999998,50.4332086,30.5079166,50.433330700000006,30.5078975,50.433336100000005,30.507917600000003,50.4333648,Polygon,15.0,0.73,,30.506201,50.432388,Point,30.520749,50.440698,Point,10.0,8.98
85,5bd44a27aef2f0451bff5856,73,,71,,798.1200398536943,Kyiv1,,30.510545681267534,50.437855639806365,Point,42,0.54,,30.5105269,50.438096200000004,30.5103522,50.4376486,,,,,,,30.5105618,50.437613299999995,30.510740600000002,50.4380621,30.5105269,50.438096200000004,,,,,,,,,,,Polygon,15.0,0.73,,30.506201,50.432388,Point,30.520749,50.440698,Point,36.0,8.98
280,5bd44a27aef2f0451bff5919,45/49,,71,,929.071162740668,Kyiv1,,30.510421835167108,50.435716304509036,Point,79,0.54,,30.5099833,50.4358122,30.5099833,50.4357011,30.510248800000003,50.4357609,30.510248800000003,50.4358122,30.5099833,50.4358122,30.510262199999996,50.4357011,30.5102623,50.43557979999999,30.510554600000003,50.43557979999999,30.510554600000003,50.435694299999994,30.510855,50.435694299999994,30.510855,50.4358122,30.5105761,50.4358122,30.5105761,50.4357609,Polygon,15.0,0.73,,30.506201,50.432388,Point,30.520749,50.440698,Point,33.0,8.98
5,5bd44a27aef2f0451bff5806,7,Льва Толстого вулиця,62,library,1332.8058189902265,Kyiv1,,30.513124629077268,50.43969163621332,Point,124,0.54,,30.5129142,50.439881799999995,30.513435600000005,50.4398103,,,,,,,30.5133717,50.4396107,30.513336499999998,50.4395008,30.512811499999998,50.43957460000001,30.5129142,50.439881799999995,,,,,,,,,Polygon,9.0,0.73,Національна наукова медична бібліотека України,30.506201,50.432388,Point,30.520749,50.440698,Point,38.0,8.91
360,5bd44a27aef2f0451bff5969,40,Пушкінська вулиця,62,,815.238405415668,Kyiv1,,30.515880969333463,50.44035018185241,Point,44,0.54,,30.515611699999997,50.4405507,30.5157827,50.4405213,30.515609499999997,50.4402858,30.515653600000004,50.4403056,30.515698399999998,50.440272,30.515924300000002,50.440498999999996,30.515975800000003,50.4404901,30.516111,50.440467,30.515996500000004,50.4401771,30.5159903,50.440161700000004,30.515762199999998,50.4401981,30.5156336,50.44021779999999,30.515644599999998,50.4402413,Polygon,12.0,0.73,,30.506201,50.432388,Point,30.520749,50.440698,Point,41.0,8.91
98,5bd44a27aef2f0451bff5863,4,Саксаганського вулиця,62,,418.9401825849088,Kyiv1,,30.52004523320042,50.43616784402765,Point,32,0.54,,30.5201994,50.4360766,30.5199014,50.4360758,30.5201994,50.4360766,,,,,30.519900899999996,50.43610579999999,30.519900800000002,50.4362136,30.519900399999997,50.436230200000004,30.519959999999998,50.4362304,30.519959600000004,50.436286100000004,30.520102899999998,50.4362864,30.5201033,50.436220399999996,30.5201985,50.4362206,Polygon,15.0,0.73,,30.506201,50.432388,Point,30.520749,50.440698,Point,45.0,8.91
107,5bd44a27aef2f0451bff586c,25а,,62,,259.1694574634423,Kyiv1,,30.51943284246682,50.4379631366374,Point,56,0.54,,30.519387,50.4380847,30.5195945,50.4378922,,,,,,,30.5194787,50.437841600000006,30.5192712,50.438034,30.519387,50.4380847,,,,,,,,,,,Polygon,6.0,0.73,,30.506201,50.432388,Point,30.520749,50.440698,Point,65.0,8.91
206,5bd44a27aef2f0451bff58cf,44,Велика Васильківська вулиця,62,,573.2332953553348,Kyiv1,,30.51560808414437,50.43704391382329,Point,19,0.54,,30.5158151,50.4371393,30.515813399999995,50.4369489,30.5158151,50.4371393,,,,,30.515615999999998,50.436949600000005,30.515339100000002,50.436950599999996,30.5153396,50.4370099,30.515567100000002,50.437009,30.5155677,50.4370852,30.515349100000005,50.437086,30.515349600000004,50.437141100000005,30.515608,50.4371401,Polygon,15.0,0.73,,30.506201,50.432388,Point,30.520749,50.440698,Point,69.0,8.91
